City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ruwi,OM,23.6,58.55,68.0,72,0,3.36
1,Naryan-Mar,RU,67.67,53.09,14.59,96,0,8.57
2,Bredasdorp,ZA,-34.53,20.04,60.8,87,100,10.29
3,Castro,BR,-24.79,-50.01,61.16,97,2,6.15
4,Albany,US,42.6,-73.97,41.0,69,2,2.08
5,Mahebourg,MU,-20.41,57.7,73.4,78,75,16.11
6,Buala,SB,-8.14,159.59,84.29,73,76,1.63
7,Vestmannaeyjar,IS,63.44,-20.27,44.17,73,0,2.35
8,Grindavik,IS,63.84,-22.43,41.0,86,0,10.29
9,Kununurra,AU,-15.77,128.73,91.4,52,100,6.93
10,Chegdomyn,RU,51.12,133.02,37.62,73,0,1.92
11,Kenora,CA,49.82,-94.43,21.2,85,90,5.82
12,Oriximina,BR,-1.77,-55.87,80.67,70,1,2.84
13,Paamiut,GL,61.99,-49.67,35.71,88,100,9.26
14,Asosa,ET,10.07,34.53,63.41,82,0,4.65
15,New Norfolk,AU,-42.78,147.06,61.0,35,0,4.0
16,Asau,RO,46.43,26.4,53.01,98,99,1.61
17,Ushuaia,AR,-54.8,-68.3,48.2,66,20,4.7
18,Dingle,PH,11.0,122.67,77.88,88,100,16.75
19,Hasaki,JP,35.73,140.83,68.0,59,75,5.82
20,Yellowknife,CA,62.46,-114.35,28.0,79,75,6.93
21,Itarema,BR,-2.92,-39.92,79.79,80,0,15.5
22,San Cristobal,VE,7.77,-72.22,78.8,83,40,4.7
23,Rikitea,PF,-23.12,-134.97,73.72,82,100,25.7
24,Arlit,NE,18.74,7.39,75.31,18,0,7.81
25,Vostok,RU,46.49,135.88,38.71,81,43,2.68
26,Kavieng,PG,-2.57,150.8,82.58,77,100,10.33
27,Sao Joao Da Barra,BR,-21.64,-41.05,71.28,87,71,9.91
28,Khatanga,RU,71.97,102.5,5.94,95,95,9.8
29,Avarua,CK,-21.21,-159.78,77.0,69,69,17.22
30,Sitka,US,57.05,-135.33,41.0,86,90,13.87
31,Namibe,AO,-15.2,12.15,67.75,82,16,7.52
32,Barrow,US,71.29,-156.79,24.8,73,90,10.29
33,Leningradskiy,RU,69.38,178.42,25.29,94,96,6.22
34,Saint-Augustin,CA,51.23,-58.65,31.69,84,0,12.08
35,Airai,TL,-8.93,125.41,75.81,61,80,1.12
36,Mount Gambier,AU,-37.83,140.77,62.6,51,75,19.46
37,Pangnirtung,CA,66.15,-65.71,12.18,85,35,4.45
38,Santa Vitoria,BR,-18.84,-50.12,75.25,81,91,6.11
39,Jiwani,PK,25.05,61.74,75.74,27,0,6.67
40,Lompoc,US,34.64,-120.46,60.8,82,90,11.41
41,Darnah,LY,32.77,22.64,71.17,78,100,14.63
42,Ponta Do Sol,PT,32.67,-17.1,66.2,68,20,5.82
43,Luanda,AO,-8.84,13.23,75.2,94,75,4.7
44,Hecelchakan,MX,20.17,-90.13,82.4,78,40,20.8
45,Raudeberg,NO,61.99,5.14,48.0,79,100,21.47
46,Saint George,US,37.1,-113.58,51.01,39,72,19.46
47,Hermanus,ZA,-34.42,19.23,61.0,89,99,4.0
48,Mataura,NZ,-46.19,168.86,54.0,55,99,5.99
49,Ilulissat,GL,69.22,-51.1,15.8,52,100,3.36
50,Oudtshoorn,ZA,-33.59,22.2,60.8,100,100,3.36
51,Kodiak,US,57.79,-152.41,48.2,87,90,5.82
52,Kapaa,US,22.08,-159.32,82.4,74,40,9.17
53,Vaini,TO,-21.2,-175.2,73.4,94,90,13.87
54,Ostrovnoy,RU,68.05,39.51,30.0,95,100,7.31
55,Junin,AR,-34.58,-60.94,57.99,49,4,8.43
56,Punta Arenas,CL,-53.15,-70.92,44.6,81,75,3.36
57,Port Hardy,CA,50.7,-127.42,42.8,70,90,3.36
58,La Palma,US,33.85,-118.05,66.99,55,75,9.17
59,East London,ZA,-33.02,27.91,65.79,73,89,1.01
60,Upernavik,GL,72.79,-56.15,13.89,77,65,5.1
61,Haines Junction,CA,60.75,-137.51,28.06,94,100,3.74
62,Mayor Pablo Lagerenza,PY,-19.93,-60.77,89.35,46,1,8.46
63,Busselton,AU,-33.65,115.33,73.99,46,0,12.46
64,Berlevag,NO,70.86,29.09,33.64,89,100,22.84
65,Jacksonville,US,30.33,-81.66,75.99,94,75,5.82
66,Cap Malheureux,MU,-19.98,57.61,73.99,75,49,7.0
67,Ishigaki,JP,24.34,124.16,77.0,69,20,16.11
68,Qaanaaq,GL,77.48,-69.36,9.01,76,88,8.37
69,Henderson,US,36.04,-114.98,72.0,9,20,24.16
70,Severo-Kurilsk,RU,50.68,156.12,46.47,80,100,7.11
71,Atuona,PF,-9.8,-139.03,79.07,73,0,19.82
72,Thenzawl,IN,23.32,92.75,71.6,94,20,4.7
73,Puerto Ayora,EC,-0.74,-90.35,68.0,85,43,3.0
74,Torbay,CA,47.67,-52.73,39.99,74,70,1.99
75,Yakeshi,CN,49.28,120.73,33.04,91,100,5.32
76,Dikson,RU,73.51,80.55,20.14,98,100,11.16
77,Bluff,NZ,-46.6,168.33,54.0,55,73,5.99
78,Cabedelo,BR,-6.98,-34.83,77.0,88,0,4.7
79,Moron,AR,-34.65,-58.62,66.0,99,53,1.01
80,Pevek,RU,69.7,170.31,25.45,98,100,6.4
81,Cabo San Lucas,MX,22.89,-109.91,87.8,62,40,8.05
82,Pasni,PK,25.26,63.47,75.27,35,0,9.53
83,Northam,GB,51.03,-4.22,50.0,83,98,13.0
84,Los Chiles,CR,11.03,-84.72,76.89,89,97,2.68
85,Punta De Bombon,PE,-17.17,-71.79,63.07,76,45,4.5
86,Victoria,HK,22.29,114.16,77.0,76,100,1.01
87,Acarau,BR,-2.89,-40.12,79.84,79,0,17.16
88,Najran,SA,17.49,44.13,57.2,20,0,1.59
89,Smoky Lake,CA,54.12,-112.47,20.88,87,0,7.92
90,Black River,JM,18.03,-77.85,80.01,88,20,6.93
91,Saint-Louis,SN,16.33,-15.0,80.6,51,0,9.19
92,Hithadhoo,MV,-0.6,73.08,83.71,65,19,5.93
93,Reutte,AT,47.48,10.72,42.01,90,100,1.99
94,Ozinki,RU,51.18,49.68,38.86,76,0,17.65
95,Jamestown,US,42.1,-79.24,45.0,70,90,5.82
96,Katsuura,JP,35.13,140.3,66.0,55,75,3.36
97,Adrar,MR,20.5,-10.07,86.58,13,57,8.32
98,Cayenne,GF,4.93,-52.33,78.8,94,40,9.66
99,Tiksi,RU,71.69,128.87,5.34,90,100,31.03
100,Talnakh,RU,69.49,88.4,10.4,92,75,13.42
101,Lagoa,PT,39.05,-27.98,64.51,71,100,7.81
102,Tautira,PF,-17.73,-149.15,84.2,70,40,5.82
103,Chalmette,US,29.94,-89.96,71.01,100,1,4.23
104,Cape Town,ZA,-33.93,18.42,61.0,77,0,11.41
105,Dali,CN,25.7,100.18,60.17,86,72,0.72
106,Ancud,CL,-41.87,-73.82,50.0,81,90,10.29
107,Barra Patuca,HN,15.8,-84.28,78.3,88,100,10.45
108,Tuktoyaktuk,CA,69.45,-133.04,17.6,85,90,19.46
109,Namatanai,PG,-3.67,152.43,82.38,76,100,8.28
110,Los Llanos De Aridane,ES,28.66,-17.92,69.8,64,21,11.41
111,Chokurdakh,RU,70.63,147.92,6.15,92,0,9.69
112,Tuy Hoa,VN,13.08,109.3,78.51,84,52,4.43
113,Georgetown,MY,5.41,100.34,78.8,88,40,7.16
114,Beamsville,CA,43.17,-79.48,43.0,71,100,16.73
115,Susaki,JP,33.37,133.28,68.0,49,20,8.05
116,Caravelas,BR,-17.71,-39.25,72.07,97,100,9.44
117,Lebu,CL,-37.62,-73.65,47.89,77,10,4.05
118,Beloha,MG,-25.17,45.05,67.17,79,91,4.65
119,Byron Bay,AU,-28.65,153.62,73.99,78,90,9.17
120,Port Hedland,AU,-20.32,118.57,82.4,58,0,8.05
121,Mbandaka,CD,0.05,18.26,71.69,97,100,2.15
122,Coahuayana,MX,18.73,-103.68,75.2,83,40,6.93
123,Korla,CN,41.76,86.15,43.0,69,5,3.49
124,Zaozerne,UA,45.16,33.28,63.45,63,100,13.04
125,Weligama,LK,5.97,80.42,77.83,86,7,5.97
126,Puri,IN,19.8,85.85,75.2,100,20,2.24
127,Saint-Philippe,RE,-21.36,55.77,73.4,72,0,3.36
128,Maniitsoq,GL,65.42,-52.9,28.13,79,100,8.28
129,Verkhnyaya Inta,RU,65.98,60.31,16.81,93,74,8.75
130,Provideniya,RU,64.38,-173.3,35.6,74,90,6.71
131,Samarai,PG,-10.62,150.67,83.03,75,78,7.54
132,Saskylakh,RU,71.92,114.08,8.24,94,100,10.22
133,Mutoko,ZW,-17.4,32.23,64.58,60,0,10.69
134,Tasiilaq,GL,65.61,-37.64,33.8,59,100,19.46
135,Waingapu,ID,-9.66,120.26,85.96,58,100,1.68
136,Bayan,CN,46.08,127.4,43.03,64,24,3.49
137,Yenagoa,NG,4.92,6.26,75.36,92,100,0.34
138,Chicama,PE,-7.84,-79.15,64.15,82,100,5.95
139,Hambantota,LK,6.12,81.12,73.4,100,20,1.12
140,Imbituba,BR,-28.24,-48.67,71.6,94,75,5.82
141,Vila,PT,42.03,-8.16,44.01,95,100,3.38
142,Sabha,LY,27.04,14.43,67.17,38,0,10.04
143,Innisfail,AU,-17.53,146.03,83.3,67,0,8.01
144,Salalah,OM,17.02,54.09,75.2,64,0,2.24
145,Port Alfred,ZA,-33.59,26.89,65.08,85,100,6.91
146,Praia Da Vitoria,PT,38.73,-27.07,64.0,82,75,3.31
147,Punta Umbria,ES,37.18,-6.97,59.0,83,71,5.01
