City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Ruwi,OM,68.0,23.6,58.55,Al Falaj Hotel
5,Mahebourg,MU,73.4,-20.41,57.7,Shandrani Beachcomber Resort & Spa
6,Buala,SB,84.29,-8.14,159.59,Maringe Lagoon Lodge
12,Oriximina,BR,80.67,-1.77,-55.87,Pousada Tia Amélia
18,Dingle,PH,77.88,11.0,122.67,Camp Pasica
19,Hasaki,JP,68.0,35.73,140.83,Inubosaki Kanko Hotel
21,Itarema,BR,79.79,-2.92,-39.92,Windvillage
22,San Cristobal,VE,78.8,7.77,-72.22,Pirineos
23,Rikitea,PF,73.72,-23.12,-134.97,Pension Maro'i
24,Arlit,NE,75.31,18.74,7.39,Hôtel Telwa Bungalow
26,Kavieng,PG,82.58,-2.57,150.8,Nusa Island Retreat
27,Sao Joao Da Barra,BR,71.28,-21.64,-41.05,Pousada Porto De Canoas
29,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn
31,Namibe,AO,67.75,-15.2,12.15,Hotel Chik Chik Namibe
35,Airai,TL,75.81,-8.93,125.41,Juvinal Martin
38,Santa Vitoria,BR,75.25,-18.84,-50.12,Center Hotel
39,Jiwani,PK,75.74,25.05,61.74,Al Mumtaz Transport Jiwani
41,Darnah,LY,71.17,32.77,22.64,زاوية الرفاعي
42,Ponta Do Sol,PT,66.2,32.67,-17.1,Hotel do Campo
43,Luanda,AO,75.2,-8.84,13.23,EPIC SANA Luanda
44,Hecelchakan,MX,82.4,20.17,-90.13,Hotel Amparito
52,Kapaa,US,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
53,Vaini,TO,73.4,-21.2,-175.2,Keleti Beach Resort
58,La Palma,US,66.99,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
59,East London,ZA,65.79,-33.02,27.91,Tu Casa
63,Busselton,AU,73.99,-33.65,115.33,Observatory Guest House
65,Jacksonville,US,75.99,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
66,Cap Malheureux,MU,73.99,-19.98,57.61,Pereybere Hotel & Spa
67,Ishigaki,JP,77.0,24.34,124.16,Hotel Peace Land Ishigakijima
69,Henderson,US,72.0,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
71,Atuona,PF,79.07,-9.8,-139.03,Villa Enata
72,Thenzawl,IN,71.6,23.32,92.75,LH.Ngaihzuala Garden
